#  theta    R       E_CP
   165     2.8    41915.83
   165     2.9    32904.76
   165     3.0    26550.68
   165     3.1    21789.41
   165     3.2    17332.65
   165     3.3    13051.20
   165     3.4     9473.12
   165     3.5     6720.18
   165     3.6     4681.47
   165     3.7     3204.30
   165     3.8     2150.66
   165     3.9     1408.84
   165     4.0      893.07
   165     4.1      539.32
   165     4.2      300.41
   165     4.3      142.07
   165     4.4       39.74
   165     4.5      -24.10
   165     4.6      -61.82
   165     4.7      -82.05
   165     4.8      -90.90
   165     4.9      -92.46
   165     5.0      -89.62
   165     5.1      -84.26
   165     5.2      -77.62
   165     5.3      -70.53
   165     5.4      -63.48
   165     5.5      -56.77
   165     5.6      -50.56
   165     5.7      -44.90
   165     5.8      -39.84
   165     5.9      -35.34
   165     6.0      -31.37
   165     6.1      -27.87
   165     6.2      -24.80
   165     6.3      -22.10
   165     6.4      -19.73
   165     6.5      -17.65
   165     6.6      -15.82
   165     6.7      -14.21
   165     6.8      -12.78
   165     6.9      -11.52
   165     7.0      -10.41
   165     7.1       -9.42
   165     7.2       -8.53
   165     7.3       -7.75
   165     7.4       -7.04
   165     7.5       -6.42
   165     7.6       -5.86
   165     7.7       -5.36
   165     7.8       -4.90
   165     7.9       -4.50
   165     8.0       -4.13
   165     8.1       -3.80
   165     8.2       -3.52
   165     8.3       -3.23
   165     8.4       -2.98
   165     8.5       -2.75
   165     8.6       -2.54
   165     8.7       -2.35
   165     8.8       -2.18
   165     8.9       -2.03
   165     9.0       -1.88
   165     9.1       -1.75
   165     9.2       -1.63
   165     9.3       -1.52
   165     9.4       -1.42
   165     9.5       -1.33
   165     9.6       -1.24
   165     9.7       -1.16
   165     9.8       -1.09
   165     9.9       -1.02
   165    10.0       -0.96

   180     2.7   117324.57
   180     2.8    90359.42
   180     2.9    67938.12
   180     3.0    50213.98
   180     3.1    36619.58
   180     3.2    26409.61
   180     3.3    18857.99
   180     3.4    13338.50
   180     3.5     9343.27
   180     3.6     6475.96
   180     3.7     4434.61
   180     3.8     2992.91
   180     3.9     1983.21
   180     4.0     1282.52
   180     4.1      801.27
   180     4.2      474.76
   180     4.3      256.57
   180     4.4      113.46
   180     4.5       22.07
   180     4.6      -34.08
   180     4.7      -66.52
   180     4.8      -83.29
   180     4.9      -89.92
   180     5.0      -90.14
   180     5.1      -86.55
   180     5.2      -80.86
   180     5.3      -74.16
   180     5.4      -67.17
   180     5.5      -60.32
   180     5.6      -53.87
   180     5.7      -47.93
   180     5.8      -42.55
   180     5.9      -37.75
   180     6.0      -33.49
   180     6.1      -29.73
   180     6.2      -26.43
   180     6.3      -23.53
   180     6.4      -20.99
   180     6.5      -18.76
   180     6.6      -16.79
   180     6.7      -15.06
   180     6.8      -13.54
   180     6.9      -12.19
   180     7.0      -11.00
   180     7.1       -9.94
   180     7.2       -9.00
   180     7.3       -8.17
   180     7.4       -7.42
   180     7.5       -6.76
   180     7.6       -6.16
   180     7.7       -5.63
   180     7.8       -5.15
   180     7.9       -4.72
   180     8.0       -4.33
   180     8.1       -3.97
   180     8.2       -3.66
   180     8.3       -3.37
   180     8.4       -3.11
   180     8.5       -2.87
   180     8.6       -2.65
   180     8.7       -2.45
   180     8.8       -2.27
   180     8.9       -2.11
   180     9.0       -1.96
   180     9.1       -1.82
   180     9.2       -1.70
   180     9.3       -1.58
   180     9.4       -1.47
   180     9.5       -1.38
   180     9.6       -1.29
   180     9.7       -1.20
   180     9.8       -1.13
   180     9.9       -1.06
   180    10.0       -0.99
