#  theta    R       E_CP
   135     3.6     813.89
   135     3.7     499.50
   135     3.8     282.96
   135     3.9     136.56
   135     4.0      39.96
   135     4.1     -21.68
   135     4.2     -59.08
   135     4.3     -79.92
   135     4.4     -89.67
   135     4.5     -92.20
   135     4.6     -90.18
   135     4.7     -85.47
   135     4.8     -79.30
   135     4.9     -72.51
   135     5.0     -65.64
   135     5.1     -59.01
   135     5.2     -52.79
   135     5.3     -47.09
   135     5.4     -41.93
   135     5.5     -37.31
   135     5.6     -33.20
   135     5.7     -29.56
   135     5.8     -26.34
   135     5.9     -23.50
   135     6.0     -20.99
   135     6.1     -18.78
   135     6.2     -16.83
   135     6.3     -15.11
   135     6.4     -13.59
   135     6.5     -12.24
   135     6.6     -11.04
   135     6.7      -9.98
   135     6.8      -9.04
   135     6.9      -8.19
   135     7.0      -7.44
   135     7.1      -6.77
   135     7.2      -6.17
   135     7.3      -5.63
   135     7.4      -5.15
   135     7.5      -4.72
   135     7.6      -4.33
   135     7.7      -3.98
   135     7.8      -3.65
   135     7.9      -3.36
   135     8.0      -3.10
   135     8.1      -2.86
   135     8.2      -2.65
   135     8.3      -2.45
   135     8.4      -2.27
   135     8.5      -2.10
   135     8.6      -1.95
   135     8.7      -1.81
   135     8.8      -1.69
   135     8.9      -1.57
   135     9.0      -1.46
   135     9.1      -1.37
   135     9.2      -1.28
   135     9.3      -1.19
   135     9.4      -1.12
   135     9.5      -1.05
   135     9.6      -0.98
   135     9.7      -0.92
   135     9.8      -0.86
   135     9.9      -0.81
   135    10.0      -0.76

   150     2.7   48824.37
   150     2.8   36840.19
   150     2.9   27411.30
   150     3.0   20145.32
   150     3.1   14638.86
   150     3.2   10521.87
   150     3.3    7478.65
   150     3.4    5251.95
   150     3.5    3638.17
   150     3.6    2479.43
   150     3.7    1655.51
   150     3.8    1075.74
   150     3.9     672.47
   150     4.0     395.78
   150     4.1     208.97
   150     4.2      85.49
   150     4.3       6.17
   150     4.4     -42.74
